text,expected,predicted
"В чем проблема организовывать опросы и голосования на счет того кто и сколько чего хочет? Проблема в том что хотелки меняются.
",0.0,0.0
"Там же аватара нарисованной бабы и мусор из сообществ ясно говорят, что он обычный любитель мультфильмов с идиотскими сюжетами, нарисованных узкоглазыми любителями геноцида и Курильских островов по схеме, придуманной Николаем Носовым. Ну а любители этих мультфильмов - очень специфически мыслящая аудитория.
",1.0,0.0
"А вот расскажите почтенной публике: что такое автономная система применительно к интернету?
",0.0,1.0
"Ну такое, под лежачего майора коньяк не течёт. Если структура общества такова, что надо постоянно рвать трусы, то надо это делать, иначе светят дешёвые сосиски и обувь по 30.. Это образно, может обувь и есть норм за такие деньги), но в дешёвых продуктах только онкология.
",0.0,0.0
"И узнают что в фильме преврана история группы про которую они читают. Хорошее начало для знакомства с творчеством группы.
",0.0,0.0
"Внимание, анекдот: Приехал Путин в Тыву, залез на гору. Жарко, решил позагорать. Снял одежды, прилег в шезлонг. Мимо шел бродячий енот. Видит, у Путина яичко из плавок вылезло. Начал лизать. Путин, не снимая темных очков: - Владимир Рудольфович, ну это уж слишком....
",1.0,0.0
"У меня остался кусочек, после этого рецепта, только вчера достал из морозилки) так вот, тушил пол часа в мультиварке, как было жеским, так и осталось) вывод очевиден, значит в этот раз это точно была не вырезка)
",0.0,0.0
"Лишняя буква у тебя. Раунд!
",1.0,1.0
"Здесь нет кассиршь Галь, И нет здесь кассиршь Зин, Пакупку не отменят, знай Это Печальный магазин
",0.0,0.0
"А я готовлю почти также, только сахар не использую вообще, а вместо него добавляю в фарш изюм - получается вкусно. Ну и без яйца в конце (хотя зачетно должно быть, только вряд ли совместимо с изюмом, надо будет попробовать так).
",0.0,0.0
"Этот месседж не для лахтадебилов, так что иди на хуй со своим сисяном.
",1.0,0.0
"Напомните, пожалуйста, когда именно США заморозили счета Венесуэлы? И где там говорится о запретах на поставку в страну продовольствия?
",0.0,0.0
"Так нормально же погрузили, ну А то что так резко опустили, ну это менталитет такой, хорячий .Видно ж, что всё под контролем вон сколько народа под грузом бегает, помощь советом оказывает
",0.0,0.0
"Подставил ты Васю,автор. Подло причем.
",1.0,1.0
"мама русская наташка, папа казах, парень чеченец
",1.0,1.0
"К сожалению, это то немногое, за что их можно похвалить. Когда играл не отпускало ощущение дешевизны. И, вроде бы, и не то чтобы плохо, а всё же без души сделано.
",0.0,0.0
"Вижу по твоим старым постам, что ты на этом деле собаку съел) А сам прошёл полностью?
",0.0,1.0
"Рафик Соколов не в чем не виноват? Герои войны не могут быть преступниками? Я вас правильно понял? Он дал показания на всех кого мог. Он не был политиком. Для власти он был никем . И опасности не представлял. Только как крупный коррупционер. Дело полностью расследовалось КГБ без привлечения милиции, быстро разрослось и породило каскад уголовных дел вокруг всей системы московской торговли, в результате было привлечено к уголовной ответственности более 15 тыс. человек, а 174 чиновника арестованы по обвинениям во взяточничестве и хищении госимущества.
",1.0,0.0
"Пользуясь случаем, где можно найти хороший металлический револьвер с пистонами? Нигде не нашел годный вариант, одни лишь однаразовые китайские попадались
",0.0,0.0
А пропаганда репоста с ненавистью?,0.0,0.0
"может там оператор был размером как они вчетвером )
",0.0,0.0
"Не исключено, но с фактами которые он озвучивает кто-то будет критику производить?
",0.0,0.0
"Какой гейт отъехал? Текст автора внимательно читаем и не тупим
",0.0,0.0
"Про баянометр - видимо, намекает, что стоит попробовать как-нибудь пособирать грибы под The Dark Side of the Moon , хех. Хотя тут кому как. Мне вот, например, в лесу в наушниках некомфортно. А один мой знакомый тащился от лесных прогулок в сумерках со Старухой Мха в ушах.
",0.0,0.0
"Изучение ассортимента столовок.
",0.0,1.0
"За неделю работы,это неплохой доход.
",0.0,0.0
"Как минимум был Pitfall! на Atari 2600. Просто нинтендо сделали всё это лучше.
",0.0,0.0
"Пост для расширения кругозора) поделся тем что знаю. А на счёт того что цены на билеты дорогие. Насколько я знаю (по крайней мере мне так объясняли) РЖД в целом пассажирские перевозки и не нужны, потому что основной доход приносит грузовые перевозки. И чтобы отбивать затраченые деньги на фпк они заламывают цены
",0.0,0.0
"Чего-то с их не сменяемостью власти в Америке и Германии живут они намного лучше чем мы в России.
",0.0,1.0
"У меня примерно такой же порядок на верстачке. Но примерно раз в 2-3 месяца я всё аккуратно складываю и потом в течении месяца количество необходимых деталей, которые могут уместиться под рукой, неуклонно растёт. И такой цикл вечен. И примерно такой же набор: тут и пайка, и сварка, и отрезная машинка, и ножовка.
",0.0,0.0
"Яйца куриные тоже дорожают Я думаю, все-таки не в прямой пропорции? в отличие от машин.На пальцах: доллар подорожал в 2 раза, тазы подорожали в 2 раза. Но так-то машина русская, дааа
",0.0,0.0
"Коммунистам заливают говна в штаны даже когда у власти в стране Коммунистическая Партия.
",1.0,0.0
"все банки такие и кредитки у них, если грамотно пользоваться, только вот пока и без кредиток живется хорошо, из принципа не пользуюсь. А совет огонь!)
",0.0,0.0
"Жалко 300р. в ближайшие несколько лет кредиты брать не планирую.
",0.0,0.0
"Что-то ты запизделся. Давай сначала.
",1.0,1.0
"Еще у нас выявляют трещины с помощью белой краски и магнитной краски, потом прислоняют большой магнит и трещины проявляются. Не знаю как этот метод называется, у нас швы труб до 300мм им проверяют
",0.0,0.0
"Справедливости ради, мы не знаем, были ли приводы раньше (не по документам, а по каким-то другим причинам). Ну и подделка документов всё-таки.
",0.0,0.0
"Дали бы на ротан этому пидору Алексунайтмору из его команды?
",1.0,1.0
"Говорящие лошади на месте?
",1.0,0.0
"Комплект из двух (2 и 6 зубьев) от 2600 р. Зубья сменные, на резьбе, там же можно взять про запас. У китайских сталь как правило оставляет желать лучшего - быстро тупятся, разбалтываются в местах креплений от этого строчка гуляет. Зубья часто не сменные а запрессованы, в итоге приходится их выкидывать при тех проблемах о которых писал выше. Рукоятки можно купить китайские а зубья у росс.производителей, резьба подходит, так будет дешевле но опять же металл ручек может оказаться не очень. Я брал комплект на 2, 4 и 6 зубьев, шаг 5 мм. у Братского подгона когда они ещё делали свои пробойники, сейчас не делают, нерентабельно говорят, затраты на весь цикл производства высоки слишком. Но зубья у них вроде ещё есть.
",0.0,0.0
"В статье не хватает хотя бы ссылок на его теорию о шестимерном пространстве. Это отдельная тема, фактически современная РТГ выросла в том числе и из этой теории. Комплекс А-57 - вообще фантастика.
",0.0,0.0
"Собаке - собачья смерть
",1.0,1.0
"А почему вместо тюрьмы не администрация общественных работ PWA и трудовые лагеря CBA? Больше соответствует оригиналу.
",0.0,0.0
"многие современные научно-исследовательские суда именно такой конструкции
",0.0,0.0
"Тем более что опыт переименования уже есть
",0.0,0.0
"У меня есть такой тариф, Оренбургская область. Как было 280 рублей года четыре назад, так и осталось.
",0.0,0.0
"А следовательно не заработаешь И не купишь камеру за 50к, чтобы снять рекламу на Fallout 76, чтобы купить камеру за 100к, чтобы снять обзор на то, какие на ютубе мрази зарабатывают на чем только могут.
",0.0,0.0
"ну вот так. Не спрашивали. А ты лезешь везде со своим мнением. Которое интересно кому? Никому.
",1.0,1.0
"лучше скажи мне нахуй кто-то смотрит эти дёргания инвалидки по несколько часов ты смотришь, долбоеб, ведь ты знаешь сколько ей задонатили до последнего рубля парализованная ДЦП-шница единственный дцпшник на голову - это ты
",1.0,1.0
"Это ж моя кошка! И пузико, и белое пятнышко на шее!
",1.0,0.0
"Вот до чего жадность доводит, сказал бы 20 000 руб., может бы и прокатило
",0.0,0.0
"Крутой для заднеприводного, кем он и является.
",1.0,0.0
"На такой бюджет можно купить elm327 с переключателем. Это практически тот же ELS.
",0.0,0.0
"Прибыль банка уменьшиться не за счёт начисленых процентов за 30 дней, а за счёт достаточного количества персонала, чтобы обрабатывать эти заявления быстрее 30 дней. А заёмщик в первую очередь должен сам договор прочитать и не пользоваться продуктами, которые его не устраивают
",0.0,0.0
"с пропуском петель- какую иглу используете? опускали ли игловодитель относительно челнока?(наиболее распространенная проблема при использовании бытовой иглы для кожи) насчет изменения длины стежка- настраивали высоту лапки и ее давление? По поводу верхнего транспортера-он хорош при шитье далеко от края, при строчке, близкой к краю-бесполезно(это сугубо мое мнение) застревание в кожи- опять же-какую иглу используете? при 100 для кожи-была такая проблема, переставила на 130ю лопаточкой с уже спиленной на заводе колбой, проблема ушла(можно взять промышленную и спилить колбу). По поводу следов от зубчатой рейки-нужно слегка их подтупить(следы остаются из-за сильно заточенных зубцов), плюс, опять же, настроить высоту и давление лапки. Для кожи используются лавсановые нити ЛЛ. Прилагаю таблицу соответствия игл к нитям, переписанную со швейного сайта(ссылку не могу найти). (сама использую 35 и 45 ЛЛ, некоторые нити без маркировки, но они примерно такого же диаметра) Подбор иглы к материалу осуществляла методом проб и ошибок, но точно могу сказать, что 90 и 100 иглы-очень тоненькие и двигаются при прохождении слоев(даже двух по 0,7) кожи. Спокойно берите 130-140ю. Про все интересуещие вас вопросы я буду подробно отвечать в ближайших в постах.
",0.0,0.0
"Они не проверяют с кем работают? И в рекламе говорят нам важно кто вас везет
",0.0,0.0
"комплекс причин , метеорит это только одна из, тогда ещё изменения климата были из-за вулканов, началось похолодание, а динозавры были хладнокровные, замёрзли в общем нахуй
",0.0,0.0
"Когда было иначе, лол. Легаси? Или ты по темпесту соскучился?
",0.0,1.0
"А пенопласт и высокие температуры нагрева металла смогут подружиться? Бред, другой мой
",0.0,0.0
"А звучание глэма как-то принципиально отличается от харда или хэви? Black Lable Society олдовая только участниками и относится таки к хеви. И потом, хэви произошел от харда, так что разница минимальна. З.Ы. Про пауэр я ничего не писал.",0.0,0.0
"Тоже был случай, тёлка с ребёнком в электрику садилась, ребёнка запустила а сама не успела, двери закрыли, и поезд движение начинает, она орёт все тупят, я быстро сообразил, что бы стоп кран дёрнул, показываю тем кто остался внутри что бы дернули стоят тупят, в итоге догадались
",0.0,0.0
"Он с бухлом мешал, наверное.
",1.0,1.0
"враги Путина клоун блядь, какой он враг Пыни??? Сисян политический противник Пыни, у них порно-политический анальчик
",1.0,1.0
"настроение, желание делать что либо и тд и тп, тоска в общем смертная такая ерунда еще бывает когда тесто низкий. а все остальное следствие. я там ниже уже спросил, повторяться не буду, тесто в норме?
",0.0,0.0
"А вот это кстати да, последние года два когда говоришь людям что нормальный ноутбук стоит 60-80 тысяч они говорят - а нельзя вот такой же, но за 20-30 и чтобы был хороший. И так почти со всеми аспектами жизни.
",0.0,0.0
"Результат игнорирования проблемы приводит к подобным негативным действиям. Нет адекватной реакции соответствующих служб, происходит подобная дичь, которую общество считает неподобающей, необходимой мерой
",0.0,0.0
"Для себя сделал вывод - хочешь дешево, но стремно - Али. Сам так попал, отказ в возврате денег или присылай товар обратно, а пересылка вполовину стоимости. Если подороже, но надежнее, то Ебей - тот магазин всегда на стороне покупателя.
",0.0,0.0
"А сейчас скинов просто нет или как?
",0.0,0.0
Да он видать за деньги :) Дорого оказалось и денех жалко :),0.0,1.0
"Вот оно счастливое детство.
",0.0,0.0
"Вдруг бумажного пакета будет недостаточно.
",0.0,0.0
"Нифига не кремовые, там каждый лепесток отдельно присобачен, смотрите внимательно, это мастика !!!
",0.0,0.0
"лахтодвоечка отрабатывает свои 30 серебренников
",1.0,0.0
"Валентин ты опять таблетки не выпил
",1.0,1.0
"100 зарплаты.(чуть меньше на самом деле) А можно для домохозяек пояснить? Спасибо!!
",0.0,0.0
"В школьном курсе есть предметы культуры и тд, в частности Истоки , Религиоведение , МХК . Регионы сами выбирают курс. В той школе преподают Истоки , ведёт их там священник, в других школах и городах это может делать любой учитель.
",0.0,0.0
"Мало. Конкретно вот за такую парковку - все 50к штраф надо.
",0.0,0.0
"Согласно одному исследованию, в британских школах существует серьезная нехватка знаний о менструации, при этом 15 молодых людей вообще ничего о них не знают. зато они знают о среднем роде и неопределенности толерантности я правильно понял срочку? что о месячных в школах не рассказывают, зато из каждой розетки льют про всё остальное?
",0.0,0.0
"Только вот крестьяне с землей и рабочие с заводами пососали коммунистическую бибу почему-то
",0.0,0.0
"Есть вариант продать кому надо продать Схемы такие ещё в 90-х были. Брали пару тачек, одну гоняли, а вторая на хранении. Потом списывали и продавали, так как уже у обеих машин ресурс исчерпан.
",0.0,0.0
Может оставите? Если хозяин не найдется? А собаки большие?,0.0,0.0
В Украине также 20 км ч допускается.,0.0,0.0
"гет хех хыыыыыыыыыыыы
",1.0,1.0
"Поэтому камеры наверное стоит кидать в отдельную bg1? А после открывать порты bg0 м у bg1 на просмотр?
",0.0,0.0
"Куча пруфов на сайте Антропогенез.ру Их мимокрокодил-музыкант почти все опроверг, что показывает уровень выдвинувших эти пруфы
",0.0,0.0
"Ну естественно. На машинах с спортивным мотором многие вещи являются расходниками, когда как на обычном авто спокойно ходят по 50 000 км.
",0.0,0.0
"Ещё в CoD6 на лицензии жёстко поставлено ограничение кадров на 85. На пиратке за 120 было и стрельба ощущалась (и отражалась на счёте) куда лучше.
",0.0,0.0
"Гравитация хоть очень и малая, но, есть. Поэтому и лежат.
",0.0,0.0
"Вот козлы! Настоящему советскому гражданину ни штанов не надо, ни трусов. Жить нужно тем, что сверху по плану мудрые мужи предписали.
",1.0,0.0
"Вероятно, тут страховка добавлена, которую не включают в полную стоимость кредита, так как якобы она добровольная и на выдачу кредита не влияет.
",0.0,0.0
"Тогда инфографика вобще смысла не имеет. С таким же успехом можно дорисовать, какую площадь на дороге займёт боинг и синий кит
",0.0,0.0
"Посмотрите на ютюбе канал freshlife28. Там много полезной информации.
",0.0,0.0
"Ну может быть специфика перевозок для стройки и перевозок бытовых несколько отличается. И да я был невнимателен при выборе компании. Насколько я понял основной нюанс в том, что мне упаковали всё в дополнительную упаковку, хотя я об этом не просил и никто меня не уведомил о том, что это необходимо.
",0.0,0.0
"По такой логике, топливо тоже не затраты, его же обязаны компенсировать
",0.0,0.0
"В ТЦ квартал, в Липецке 2 пятерочки на одном этаже, в 2 минутах ходьбы.
",0.0,0.0
"все иностранные дипломаты прям ангелы - хуйня это все.
",0.0,0.0
"Светов изначально был поддержан уважаемыми у кряклов эмигрантами вроде Дурова и Чичваркина. А Свин уже давно сделать самое грязное что можно представить - призывал могилизироваться на домбабве. А в медийном поле и дальше пропагандировать домбабве это очень стремно. Там с одной стороны все сомневающиеся и симпатизирующие руским креаклы отвалятся навсегда, а останутся реальные любители прямого действия в стиле бонов из нулевых. И от такой хуйни можно много до чего договориться. А все эти антилевацкие интернет воины это конечно никем не уважаемая, но на деле никак не дискридитирующая тусовка. Об того же Понаса испачкались и дожди и федеральные сми, и радио свободы и навалы и демшизоидные блогеры. А он и по стилистике и по сути говорит вещи пожестче.
",1.0,0.0
"А еще они идеальные доставщики чего-то большого и опасного в метро или иные общественные места. Их не проверяют на входе, а сумка фольгирована.
",0.0,0.0
"Теперь понятно почему у него жирная страшная баба и почему он сошелся с Просвирниным. Я как физиогномист говорю, он дешёвка
",1.0,1.0
"КРЫМОТРЕД НАРУШАЕТ ПРАВИЛА РАЗДЕЛА Т.К В НЕМ НЕТ ОБСУЖДЕНИЯ ПОЛИТИКИ. СВОБОДНОЕ ОБЩЕНИЕ ЭТО В b. ЭТО ТОЖЕ САМОЕ ЕСЛИ Я НА ДОСКЕ О ПОЛИТИКЕ СОЗДАМ ТРЕД О ТОМ КАК ПЛОХО БЕЗ ТЯНОЧКИ. ТАК ЧТО УЕБЫВАЙТЕ В Б ИЛИ НВР СО СВОИМ ЧАТИКОМ ПРЕСТАРЕЛЫХ ГОМОСЕКОВ!
",1.0,0.0
"Может вас просто собаки бесят?) меня не собаки бесят, а проявление агрессии.. Давить собак - проявлять агрессию и жестокость. Видите в собаках угрозу- вызывайте отлов и пусть они усыпляют. А давить, стрелять еще и снимать это могут только больные садисты. Но почему то я зоошиза.. Прикольно",0.0,0.0
"А что за страшная женщина, в черном платье, на последнем фото?
",1.0,0.0
"Сразу вспомнил блокбастер Вспомнить всё,вроде. Open your mind,Квейд.)
",0.0,0.0
"Красножопый, твой выбор это легизм, отъебись от нашего даосизма, пидар",1.0,0.0
"Дык все по молодости играли в игру кто больше выпьет ...
",0.0,0.0
"Это не твоё мнение. Ты же не играл в батлу.
",1.0,1.0
"Да мне кажется он и есть модер лол. Тут ни в одной тематике уже не осталось реагирующей мочи. Все школьники щитпостеры затесались в моческвад и срут себе безнаказанно. А абу и похуй. Он давно эту парашу продал и жирует теперь.
",1.0,1.0
"CH3OН? Метиловый спирт
",1.0,0.0
"В 2015 году Октябрьский суд Краснодара признал Полюдову виновной в призывах к экстремистской деятельности и сепаратизму. Поводом для обвинений стал репост картинки и запись в социальной сети ВКонтакте : Требуем от мирового сообщества прекратить нарушения прав украинцев в Кубани. Кубань хочет на историческую родину - в Украину . Так что формальным поводом был именно репост картинки, хватит брехать. Ну понятно, прикинулся валенком и успешно отморозился по уголовному конвейеру в Барнауле. Засчитано.
",1.0,0.0
"Такая же ситуация ,один в один. Сбросил телефон на заводские, подключил к вифи, оставил на ночь. Утром минус 2 гига. Такой же разговор с поддержкой, неисправностей не обнаружено . Вообщем позиция yota такая : отключаем платные подписки, просто пиздим трафик. Также разочарован в yota. Прямо обидно.
",0.0,0.0
"Кто мы то? Ты обосрался, иди мойся под струю.
",1.0,1.0
"ГУСАРЫ!!!! МОЛЧАТЬ!!!
",1.0,1.0
"Действительно не хватает девушек с веснушками. Они очень мило выглядят
",0.0,0.0
"Можно сделать восст через DFU, а если не поможет, то можно открыть и посмотреть, там камера в досегаймости
",0.0,0.0
"Сначала был Пурина, потом гипоаллергенный Фармина, потом ветеринар посоветовала Hill s. Чем тогда кормить? Напишите пожалуйста конкретные названия.
",0.0,0.0
"У вас шизофазия или вы банально- пьяны?
",1.0,1.0
"В путин - крошка цахес, мелкий клоп, вонючка ленградская. Он мне не государь и не царь. Я терплю его сущствование только благодаря насилию государства. А так для меня, убежденного сторонника республики, этот прохиндей никто. просто мерзавец, подлец и мелкий хуебес. ты же можешь вылизываьб яйки своему хозяину сколько хочешь. Холоп, лакей и хам. Вот кто ты, лахтопидар на самом деле.
",1.0,1.0
"горные обезьяны это типа киргизы что ли?
",1.0,0.0
"Тащемта чисто по виду фары из достаточно толстой трубы, так что они всяко крепче каких-нибудь ушек для крепления. В этом смысле они весьма логично подошли. Что до цепей, у них стандарты есть же по весу. Если с ними всё норм, то почему нет? А что до на рывок , краны вообще не для этих целей, а для нормального вертикального подъёма. Кран - не трактор же.
",0.0,0.0
"мерия. Аким - голова.
",1.0,1.0
"Так пиндосы скоро запоют - не стоит нас пугать, бахвалиться спесиво! Не стоит нам грозить и вновь с огнем играть! Но если вдруг русня проверит нашу силу, Её мы на всегда отучим проверять!
",1.0,0.0
"Оправдываешь снова, Дешёвку Соколова? Лжеца и проходимца, Правительства любимца? Маэстре не завидуй, Ты вша, букашка, гнида. Ты можешь долго злиться, Но Женя извинится. Он не отвертится, когда Придёт решение суда. Придётся Жене зачитать, Что он любитель много врать И Соколов - красавец, А Женичка - засранец. извинится Маэстро не сломаешь, Судом не запугаешь. Не на того нарвался, Ты Сокол-петушок. Вы скоро ужаснетесь, И жидко обосрётесь, Олега Соколова, Увидев без порток. Не на того нарвался, Ты Сокол-петушок. А ты в конец заврался И с рифмой обосрался. К тому же ты совсем забыл, Что гуру ролик удалил. И в дальние он страны Готовит чемоданы. И в дальние он страны Готовит чемоданы. Не может быть двух мнений, Не будет извинений. Уйдёт не ждя ареста, Ебал вас в рот маэстро.
",1.0,1.0
"хуемрази, что с лицом?
",1.0,0.0
"Слухи о том, что у российского президента есть двойники, которые появляются вместо него на различных общественных мероприятиях, ходят уже давно. Как выяснилось теорию о существовании путинских клонов поддерживает и один из первых главарей ДНР террорист Игорь Гиркин. Об этом он рассказал на одной из пресс-конференций в России, где ему задали весьма своеобразный вопрос. Боевику, сбежавшему в РФ, предложили поставить точку в предложении Путина казнить нельзя помиловать . Соответствующий фрагмент пресс-конференции показали в эфире канала Sobinews во время интервью с украинским журналистом Романом Цимбалюком. А какого из них? Их сейчас показывают, как минимум, троих. Сто процентов уверен, Путина будет свергать не народная революция Путина будет свергать его собственное окружение , заявил террорист Гиркин. О двойниках Путина рассказала известный астропсихолог Валентина Виттрок. Она отметила, что факт наличия клонов Путина очевиден и пояснила, что внешне они отличаются не только от оригинала, но и друг от друга. Скажем, по рукам у одного из двойников бурята по национальности пальцы толстые, как сардельки Присмотритесь к расположению и форме морщин, мочкам ушей, которые у всех людей разные, как отпечатки пальцев , рассказывает эксперт. Напомним, новый двойник Путина ошарашил волосатым внешним видом.
",0.0,0.0
